Date,Time,Transaction Details,Day,Day_type,Amount,Upcoming_Assignment_Cost,Budget,Balance,Tags,
25/12/2025,07:19:54,Received from Mr N Viginesh,Thursday,Weekday,+10.00,11,7000,6999,#💵 Money Received,
24/12/2025,19:03:05,Paid to Savitha K,Wednesday,Weekday,-84.00,0,7000,6915,#🛒 Groceries,
24/12/2025,17:29:30,Paid to New Milan Super Market,Wednesday,Weekday,-90.00,86,7000,6739,#🛒 Groceries,
24/12/2025,17:23:32,Paid to Sri Muruga Hot Chips,Wednesday,Weekday,-34.00,0,7000,6705,#🛒 Stationary,
24/12/2025,17:20:27,Paid to Rathnammal Govindraj,Wednesday,Weekday,-25.00,0,7000,6680,#🛒 Groceries,
22/12/2025,19:59:10,Paid to New Milan Super Market,Monday,Weekday,-10.00,99,7000,6571,#🛒 Groceries,
22/12/2025,19:50:11,Paid to Sri Chowdeshwari Fruits And Vegetables Retail And,Monday,Weekday,-45.00,57,7000,6469,#🛒 Stationary,
22/12/2025,19:40:22,Money sent to Pushpa C K,Monday,Weekday,-36.00,62,7000,6371,#💵 Money Transfer,
,,,Saturday,Weekend,,33,7000,6338,,
19/12/2025,13:00:38,Paid to Adithya Juice Centre,Friday,Weekday,-10.00,0,7000,6328,#🥘 Food,
,,,Saturday,Weekend,,0,7000,6328,,
18/12/2025,20:54:47,Paid to Malinga,Thursday,Weekday,-20.00,0,7000,6308,#🥘 Food,
18/12/2025,20:12:11,Paid to Malinga,Thursday,Weekday,-240.00,0,7000,6068,#🥘 Stationary,
18/12/2025,14:14:22,Paid to Adithya Juice Centre,Thursday,Weekday,-10.00,75,7000,5983,#🥘 Food,
18/12/2025,11:27:22,Money sent to Ben Chacko,Thursday,Weekday,-10.00,0,7000,5973,#💵 Money Transfer,
17/12/2025,12:51:54,Paid to New Milan Super Market,Wednesday,Weekday,-100.00,0,7000,5873,#🛒 Groceries,
,,,Saturday,Weekend,,0,,5873,,
15/12/2025,18:43:37,Paid to Jeeva fast food,Monday,Weekday,-210.00,0,7000,5663,#🥘 Food,
15/12/2025,15:37:17,Paid to Ramanivas Kumar,Monday,Weekday,-10.00,0,7000,5653,#🥘 Stationary,
15/12/2025,10:35:27,Paid to Chandrashekhar N,Monday,Weekday,-10.00,0,7000,5643,#🥘 Food,
,,,Saturday,Weekend,,0,,5643,,
13/12/2025,18:12:06,Money sent to Nanhe Kumar,Saturday,Weekend,-110.00,0,7000,5533,#💵 Money Transfer,
13/12/2025,17:28:24,Paid to Karthick S,Saturday,Weekend,-60.00,0,7000,5473,#🔄 Miscellaneous,
13/12/2025,17:26:17,Paid to Erusan Vellaiyan,Saturday,Weekend,-100.00,0,7000,5373,#🛒 Stationary,
13/12/2025,17:23:24,Paid to Kannagi Sankar,Saturday,Weekend,-320.00,0,7000,5053,#🛒 Groceries,
13/12/2025,17:14:30,Paid to Khushi Iyengars Pastries,Saturday,Weekend,-20.00,75,7000,4958,#🥘 Food,
,,,Saturday,Weekend,,0,7000,4958,,
12/12/2025,19:24:54,Paid to Rakhil P,Friday,Weekday,-25.00,0,7000,4933,#🥘 Food,
12/12/2025,19:15:57,Paid to A Geetha,Friday,Weekday,-10.00,0,7000,4923,#🥘 Food,
12/12/2025,19:15:11,Paid to Afsal K,Friday,Weekday,-112.00,12,7000,4799,#🛍 Shopping,
12/12/2025,18:12:07,Paid to Bakers park,Friday,Weekday,-15.00,82,7000,4702,#🥘 Food,
11/12/2025,20:23:59,Paid to Bakers Park,Thursday,Weekday,-30.00,0,7000,4672,#🥘 Stationary,
11/12/2025,20:23:06,Paid to Mr C M Kodanda Pani,Thursday,Weekday,-44.00,0,7000,4628,#🛒 Groceries,
11/12/2025,20:20:25,Paid to Karthick S,Thursday,Weekday,-60.00,0,7000,4568,#🔄 Miscellaneous,
11/12/2025,20:17:24,Paid to Afsal K,Thursday,Weekday,-297.00,0,7000,4271,#🛍 Shopping,
11/12/2025,20:07:36,Paid to Sk Pooja Shop,Thursday,Weekday,-90.00,84,7000,4097,#🛒 Stationary,
11/12/2025,16:18:41,Paid to Rayavarapu Siva,Thursday,Weekday,-45.00,0,7000,4052,#🛒 Groceries,
,,,Saturday,Weekend,,0,,4052,,
,,,Saturday,Weekend,,0,,4052,,
10/12/2025,19:11:47,Paid to Ravi Kumar P,Wednesday,Weekday,-10.00,24,7000,4018,#🥘 Food,
10/12/2025,18:59:07,Paid to PhonePeMerchant,Wednesday,Weekday,-20.00,0,7000,3998,#🧾 Bill Payments,
10/12/2025,16:03:03,Paid to Vijay Bakery,Wednesday,Weekday,-40.00,80,7000,3878,#🛒 Groceries,
10/12/2025,16:02:21,Paid to Vijay Bakery,Wednesday,Weekday,-60.00,96,7000,3722,#🛒 Groceries,
09/12/2025,20:02:46,Paid to Satish R,Tuesday,Weekday,-52.00,0,7000,3670,#🛒 Groceries,
09/12/2025,20:01:23,Paid to Afsal K,Tuesday,Weekday,-225.00,0,7000,3445,#🛍 Shopping,
09/12/2025,19:56:32,Paid to Karthick S,Tuesday,Weekday,-60.00,0,7000,3385,#🔄 Miscellaneous,
08/12/2025,18:54:32,Paid to Satish R,Monday,Weekday,-52.00,0,7000,3333,#🛒 Stationary,
08/12/2025,18:50:15,Paid to Mr SHIVAKUMAR SWAMY N,Monday,Weekday,-40.00,14,7000,3279,#🛒 Groceries,
08/12/2025,18:48:25,Paid to Kapu Laxmi Amman Vegatablestore,Monday,Weekday,-139.00,0,7000,3140,#🛒 Groceries,
08/12/2025,17:56:39,Paid to A Geetha,Monday,Weekday,-10.00,0,7000,3130,#🥘 Food,
07/12/2025,16:35:21,Paid to Satish R,Sunday,Weekend,-38.00,0,7000,3092,#🛒 Groceries,
07/12/2025,16:32:34,Paid to Afsal K,Sunday,Weekend,-32.00,0,7000,3060,#🛍 Shopping,
07/12/2025,16:30:08,Paid to Satish R,Sunday,Weekend,-87.00,0,7000,2973,#🛒 Groceries,
07/12/2025,16:23:20,Paid to Khushi Iyengars Pastries,Sunday,Weekend,-60.00,0,7000,2913,#🥘 Food,
06/12/2025,18:32:10,Paid to Satish R,Saturday,Weekend,-52.00,0,7000,2861,#🛒 Groceries,
06/12/2025,18:26:40,Paid to Kapu Laxmi Amman Vegatablestore,Saturday,Weekend,-132.00,0,7000,2729,#🛒 Groceries,
06/12/2025,18:12:04,Paid to Khushi Iyengars Pastries,Saturday,Weekend,-20.00,91,7000,2618,#🥘 Food,
05/12/2025,19:45:39,Paid to Satish R,Friday,Weekday,-52.00,0,7000,2566,#🛒 Groceries,
05/12/2025,19:42:39,Paid to Afsal K,Friday,Weekday,-209.00,21,7000,2336,#🛍 Shopping,
05/12/2025,19:33:14,Paid to Medplus Udayanagar Vijinapura,Friday,Weekday,-276.00,0,7000,2060,#🏦 Services,
05/12/2025,19:22:19,Paid to Sk Pooja Shop,Friday,Weekday,-100.00,0,7000,1960,#🛒 Groceries,
05/12/2025,18:23:43,Paid to Deepika,Friday,Weekday,-25.00,0,7000,1935,#🥘 Food,
05/12/2025,17:23:05,Received from Shailesh Mishra,Friday,Weekday,+10.00,71,7000,1874,#💵 Money Received,
05/12/2025,17:12:37,Received from Shailesh Mishra,Friday,Weekday,+30.00,0,7000,1904,#💵 Money Received,
04/12/2025,19:17:26,Paid to Satish R,Thursday,Weekday,-353.00,61,7000,1490,#🛒 Groceries,
04/12/2025,19:07:15,Paid to Karthick S,Thursday,Weekday,-60.00,0,7000,1430,#🔄 Miscellaneous,
04/12/2025,19:03:54,Paid to Kapu Laxmi Amman Vegatablestore,Thursday,Weekday,-44.00,0,7000,1386,#🛒 Groceries,
04/12/2025,17:40:40,Paid to Khushi Iyengars Pastries,Thursday,Weekday,-25.00,0,7000,1361,#🥘 Food,
03/12/2025,16:57:23,Paid to Mr C M Kodanda Pani,Wednesday,Weekday,-50.00,0,7000,1311,#🛒 Groceries,
